,date,series,value,score,method
78,2011-07-31,PPI_YoY,7.5417,5.784808032481055,stl
79,2011-08-31,CPI_YoY,6.1514,5.0794159624492385,stl
80,2011-08-31,PPI_YoY,7.2528,6.597832571617869,stl
81,2011-09-30,CPI_YoY,6.0671,5.218236768343232,stl
82,2011-09-30,M2_YoY,13.04,-5.171612494306374,stl
83,2011-09-30,PPI_YoY,6.5227,6.319810337131455,stl
84,2011-10-31,M2_YoY,12.9,-5.6716746525829285,stl
85,2011-10-31,PPI_YoY,5.0038,4.206392528577283,stl
86,2011-11-30,M2_YoY,12.7,-6.4409044084983424,stl
87,2011-12-31,M2_YoY,13.6,-4.752704946629081,stl
88,2012-01-31,M2_YoY,12.4,-4.385158891270414,stl
89,2012-10-31,CPI_YoY,1.7,-3.8423683835519173,stl
90,2013-01-31,M1_M2_scissors,-0.5999999999999996,9.250198787905266,stl
91,2013-01-31,M1_YoY,15.3,10.416380240642027,stl
92,2013-01-31,M2_YoY,15.9,5.963490668457708,stl
93,2013-02-28,M1_YoY,9.5,4.54359432749372,stl
94,2013-02-28,M2_YoY,15.2,4.846815406661961,stl
95,2013-03-31,M1_M2_scissors,-3.799999999999999,4.0034348996757165,stl
96,2013-03-31,M1_YoY,11.9,7.246962326606646,stl
97,2013-03-31,M2_YoY,15.7,6.383986555626263,stl
98,2013-04-30,M1_M2_scissors,-4.200000000000001,4.025223675471559,stl
99,2013-04-30,M1_YoY,11.9,7.305271277080514,stl
100,2013-04-30,M2_YoY,16.1,6.5416469165567435,stl
101,2013-05-31,M1_YoY,11.3,5.855393274483291,stl
102,2013-05-31,M2_YoY,15.8,4.928217016800883,stl
103,2014-01-31,M1_M2_scissors,-12.0,-6.534132809516431,stl
104,2014-01-31,M1_YoY,1.2,-8.235779297080871,stl
105,2014-06-30,M2_YoY,14.7,5.193082213671755,stl
106,2014-10-31,M1_M2_scissors,-9.4,-3.8260054181452503,stl
107,2014-10-31,M1_YoY,3.2,-4.9898034324152984,stl
108,2014-11-30,M1_M2_scissors,-9.1,-4.29901501682082,stl
109,2014-11-30,M1_YoY,3.2,-5.104929992523685,stl
110,2014-12-31,M1_M2_scissors,-9.0,-4.132359602631657,stl
111,2014-12-31,M1_YoY,3.2,-4.474991671387802,stl
112,2015-01-31,M1_M2_scissors,-0.200000000000001,4.064732107434387,stl
113,2015-01-31,M2_YoY,10.8,-4.626086249721001,stl
114,2015-03-31,M1_M2_scissors,-8.7,-4.037946766541955,stl
115,2015-04-30,M2_YoY,10.1,-6.579123407812128,stl
116,2015-05-31,M2_YoY,10.8,-4.5583642419984045,stl
117,2015-06-30,M1_M2_scissors,-7.500000000000001,-4.6194843816674265,stl
118,2015-06-30,M1_YoY,4.3,-7.279798987929974,stl
119,2015-07-31,M1_M2_scissors,-6.700000000000001,-4.505823736039008,stl
120,2016-03-31,M1_M2_scissors,8.700000000000001,5.454426743767968,stl
121,2016-03-31,M1_YoY,22.1,7.55716833352047,stl
122,2016-04-30,M1_M2_scissors,10.099999999999998,6.849938461897019,stl
123,2016-04-30,M1_YoY,22.9,7.395919010526314,stl
124,2016-05-31,M1_M2_scissors,11.9,8.293709056955514,stl
125,2016-05-31,M1_YoY,23.7,7.900999010215293,stl
126,2016-06-30,M1_M2_scissors,12.8,7.753243227329457,stl
127,2016-06-30,M1_YoY,24.6,5.203356330617829,stl
128,2016-07-31,M1_M2_scissors,15.2,9.79774039516197,stl
129,2016-07-31,M1_YoY,25.4,7.955479533846867,stl
130,2016-07-31,M2_YoY,10.2,-4.713120014378528,stl
131,2016-08-31,M1_M2_scissors,13.9,8.776719206679015,stl
132,2016-08-31,M1_YoY,25.3,7.583433040544168,stl
133,2016-09-30,M1_M2_scissors,13.2,6.818322291028249,stl
134,2016-09-30,M1_YoY,24.7,5.603076009600168,stl
135,2016-10-31,M1_M2_scissors,12.3,4.09016789105715,stl
136,2016-12-31,PPI_YoY,5.5,5.963947446023635,stl
137,2017-01-31,M1_M2_scissors,3.7967999999999993,-6.679521108522229,stl
138,2017-01-31,M1_YoY,14.5,-7.424587129190012,stl
139,2017-01-31,PPI_YoY,6.9,7.340516453060029,stl
140,2017-02-28,PPI_YoY,7.8,7.962488379743543,stl
141,2017-03-31,PPI_YoY,7.6,6.882208894309205,stl
142,2017-04-30,PPI_YoY,6.4,3.988464813528265,stl
143,2018-01-31,M1_M2_scissors,6.4,7.181349383277325,stl
144,2018-01-31,M1_YoY,15.0,6.147899440081546,stl
145,2018-02-28,CPI_YoY,2.9,5.092652747322272,stl
146,2018-11-30,M1_M2_scissors,-6.5,-3.6835789955108895,stl
147,2018-12-31,M1_M2_scissors,-6.6,-3.8158141033029453,stl
148,2019-11-30,CPI_YoY,4.5,4.090151959689336,stl
149,2019-12-31,CPI_YoY,4.5,6.252364338080391,stl
150,2020-01-31,CPI_YoY,5.4,10.089230926436379,stl
151,2020-02-29,CPI_YoY,5.2,9.996503493835416,stl
152,2020-03-31,CPI_YoY,4.3,5.609138150547097,stl
153,2020-04-30,PPI_YoY,-3.1,-4.876312000731013,stl
154,2020-05-31,PPI_YoY,-3.7,-4.834635893760187,stl
155,2020-06-30,PPI_YoY,-3.0,-5.390083253662972,stl
156,2020-10-31,CPI_YoY,0.5,-4.8195421775369125,stl
157,2020-10-31,M1_YoY,9.1,3.2154984458827887,stl
158,2020-11-30,CPI_YoY,-0.5,-6.870709613171987,stl
159,2020-11-30,M1_YoY,10.0,4.708239092676489,stl
160,2021-01-31,M1_M2_scissors,5.299999999999999,11.16034758169431,stl
161,2021-01-31,M1_YoY,14.7,10.830543437362659,stl
162,2021-04-30,M2_YoY,8.1,-4.9995606663985095,stl
163,2021-05-31,M2_YoY,8.3,-4.230523122421431,stl
164,2021-05-31,PPI_YoY,9.0,4.58456196702355,stl
165,2021-07-31,PPI_YoY,9.0,5.02526173051029,stl
166,2021-08-31,PPI_YoY,9.5,6.410235596850563,stl
167,2021-09-30,PPI_YoY,10.7,7.980170252538701,stl
168,2021-10-31,PPI_YoY,13.5,12.11019179928806,stl
169,2021-11-30,PPI_YoY,12.9,10.509125668972864,stl
170,2021-12-31,PPI_YoY,10.3,5.517152803170969,stl
171,2022-01-31,M1_M2_scissors,-11.7,-6.86681426095145,stl
172,2022-01-31,M1_YoY,-1.9,-6.376706281364202,stl
173,2022-07-31,M2_YoY,12.0,3.090634088878453,stl
174,2022-08-31,M2_YoY,12.2,3.418449899694266,stl
175,2022-09-30,CPI_YoY,2.8,3.547104573290009,stl
176,2023-01-31,CPI_YoY,2.1,4.719415761497949,stl
177,2023-02-28,M2_YoY,12.9,4.060866527158702,stl
178,2023-03-31,M2_YoY,12.7,3.793709951243485,stl
179,2023-04-30,PPI_YoY,-3.6,-4.599238442757176,stl
180,2023-05-31,PPI_YoY,-4.6,-5.7680862216188675,stl
181,2023-06-30,PPI_YoY,-5.4,-7.509314444265863,stl
182,2023-07-31,PPI_YoY,-4.4,-5.030247929791474,stl
183,2024-01-31,M1_M2_scissors,-2.799999999999999,5.188475439708317,stl
184,2024-01-31,M1_YoY,5.9,4.230059744231823,stl
185,2024-04-30,M2_YoY,7.2,-4.124347181564523,stl
186,2024-05-31,M1_M2_scissors,-11.2,-3.9942552283216797,stl
187,2024-05-31,M1_YoY,-4.2,-5.063111160136644,stl
188,2024-05-31,M2_YoY,7.0,-3.480580119389658,stl
189,2024-06-30,M1_M2_scissors,-11.2,-4.143260679352904,stl
190,2024-06-30,M1_YoY,-5.0,-4.933917309636525,stl
191,2024-06-30,M2_YoY,6.2,-4.774828706050622,stl
192,2024-07-31,M1_M2_scissors,-12.9,-6.3760751428440745,stl
193,2024-07-31,M1_YoY,-6.6,-6.1969482733872345,stl
194,2024-08-31,M1_M2_scissors,-13.6,-7.282841744831616,stl
195,2024-08-31,M1_YoY,-7.3,-6.829487721819291,stl
196,2024-09-30,M1_M2_scissors,-14.2,-9.753225768821073,stl
197,2024-09-30,M1_YoY,-7.4,-10.430432813111752,stl
198,2024-10-31,M1_M2_scissors,-13.6,-8.496203424320733,stl
199,2024-10-31,M1_YoY,-6.1,-8.138708287812012,stl
200,2024-11-30,M1_M2_scissors,-10.8,-4.3498583147865295,stl
201,2024-11-30,M1_YoY,-3.7,-4.386826278714334,stl
202,2025-02-28,CPI_YoY,-0.7,-3.9271355587582337,stl
203,2025-05-31,PPI_YoY,-3.3,-4.52171278156765,stl
204,2025-06-30,M1_YoY,4.6,3.7563470369803156,stl
205,2025-06-30,PPI_YoY,-3.6,-5.235353007000134,stl
206,2025-07-31,M1_YoY,5.6,4.902430673884473,stl
207,2025-07-31,M2_YoY,8.8,4.667751123330362,stl
208,2025-07-31,PPI_YoY,-3.6,-4.530816007731275,stl
209,2025-08-31,M1_YoY,6.0,5.0035547374765965,stl
210,2025-08-31,M2_YoY,8.8,4.7380890700550635,stl
